2026-09-24T21:04:12Z INFO Logging to /tmp/logs/update_2026-09-24T21-04-12Z.log.
2026-09-24T21:04:12Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-24T21:04:14Z INFO Processing 360 items (56164 already recorded).
2026-09-24T21:08:28Z INFO [115/360] 137dd132-f0c2-4655-93d0-b3ba16d9fa50: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:08:29Z INFO [116/360] 137f3798-9a85-48bf-a762-cc74d5c3e187: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:08:29Z INFO [117/360] 137f8bd2-2bdb-40a7-bf8d-c3b3d3af20fc: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:08:30Z INFO [118/360] 137fba70-ab14-41c1-9046-3c596e1f420d: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:08:31Z INFO [119/360] 1380935a-e673-428b-ad9e-110739a770e1: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:08:32Z INFO [120/360] 1381a65f-762f-4099-be27-22fc02cbac5a: does not qualify; 0.9 s; peak memory 402 MiB.
2026-09-24T21:08:32Z INFO [121/360] 1381ef92-aaaa-456c-be2c-1fbef5c17149: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:08:33Z INFO [122/360] 13826ac5-3a57-4a23-b9ce-dc6f96b73b5b: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:08:34Z INFO [123/360] 13836f84-de42-4d34-9390-1f8b709e9155: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:08:40Z INFO [124/360] 1383d018-fd2e-46df-a1fb-05f0f10b5987: does not qualify; 6.2 s; peak memory 402 MiB.
2026-09-24T21:08:42Z INFO [125/360] 1384916f-6c6f-4c91-9ffc-87d123eb27fd: does not qualify; 1.8 s; peak memory 402 MiB.
2026-09-24T21:08:42Z INFO [126/360] 13849402-ca91-42b9-a4e7-fac3d3744b49: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:08:43Z INFO [127/360] 1386767e-7b08-46a6-9f2f-3c1fdab7c724: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:08:44Z INFO [128/360] 1387adc3-29fe-45f3-a5f6-e479bb51cc31: does not qualify; 0.7 s; peak memory 402 MiB.
