2026-09-23T02:58:14Z INFO Logging to /tmp/logs/update_2026-09-23T02-58-14Z.log.
2026-09-23T02:58:14Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-23T02:58:16Z INFO Processing 351 items (54321 already recorded).
2026-09-23T03:06:50Z INFO [142/351] 0fcb449c-7eff-4335-91eb-7c88126496c1: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:07:04Z INFO [143/351] 0fcb6d1e-3f39-4c24-845c-eff71ffe8877: does not qualify; 14.5 s; peak memory 639 MiB.
2026-09-23T03:07:06Z INFO [144/351] 0fcc1c70-5591-4766-948c-9fee99737caa: does not qualify; 1.4 s; peak memory 639 MiB.
2026-09-23T03:07:08Z INFO [145/351] 0fcc28c9-f1a7-4ef3-a854-fe1068eb0961: does not qualify; 1.8 s; peak memory 639 MiB.
2026-09-23T03:07:09Z INFO [146/351] 0fcd0585-c099-4bac-919f-b55c24b5647b: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:07:10Z INFO [147/351] 0fce3941-cefb-442a-a733-0e0b3e29808b: does not qualify; 1.4 s; peak memory 639 MiB.
2026-09-23T03:07:14Z INFO [148/351] 0fcf493c-0140-485f-9497-2927da425001: does not qualify; 3.5 s; peak memory 639 MiB.
2026-09-23T03:07:21Z INFO [149/351] 0fd1a1b6-ceb3-4430-a758-99b674776177: does not qualify; 6.7 s; peak memory 639 MiB.
2026-09-23T03:07:22Z INFO [150/351] 0fd1b2f1-e4e0-41b9-bc62-d6dfe28b13ca: does not qualify; 1.7 s; peak memory 639 MiB.
2026-09-23T03:07:22Z INFO [150/351] 0fd1b2f1-e4e0-41b9-bc62-d6dfe28b13ca: checkpointed 54471 records.
2026-09-23T03:07:30Z INFO [151/351] 0fd29ed1-d604-4cce-a49f-09fc7a3b115a: does not qualify; 7.1 s; peak memory 639 MiB.
2026-09-23T03:07:36Z INFO [152/351] 0fd2ac1d-11b2-4ea8-9fa6-cb98b91bfd33: does not qualify; 6.5 s; peak memory 639 MiB.
2026-09-23T03:07:38Z INFO [153/351] 0fd33ed5-d97a-4bd2-a2ec-1e0d2c0eb18a: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:07:47Z INFO [154/351] 0fd45bae-c6c1-43d2-b55b-9c65b796a903: does not qualify; 9.3 s; peak memory 639 MiB.
2026-09-23T03:07:49Z INFO [155/351] 0fd45ebf-44b1-407a-8d25-d893e662cd56: does not qualify; 1.9 s; peak memory 639 MiB.
2026-09-23T03:07:51Z INFO [156/351] 0fd4ebc0-748f-406b-b5d4-33bbb9ffcd9a: does not qualify; 2.0 s; peak memory 639 MiB.
2026-09-23T03:07:52Z INFO [157/351] 0fd58ef9-8353-44a2-9a40-98587b525fcb: does not qualify; 1.4 s; peak memory 639 MiB.
2026-09-23T03:07:54Z INFO [158/351] 0fd6550b-2086-4fec-948f-61f253522b5b: does not qualify; 1.4 s; peak memory 639 MiB.
2026-09-23T03:07:56Z INFO [159/351] 0fd67a66-5170-484b-b32f-1314ca36db2b: does not qualify; 2.1 s; peak memory 639 MiB.
2026-09-23T03:07:58Z INFO [160/351] 0fd89a2e-a37e-4fb8-a25d-bf301b2e8430: does not qualify; 2.1 s; peak memory 639 MiB.
2026-09-23T03:07:59Z INFO [161/351] 0fda4f2d-e9a3-45bb-ba1e-174cd89c3a8e: does not qualify; 1.5 s; peak memory 639 MiB.
