2026-09-18T15:41:49Z INFO Logging to /tmp/logs/update_2026-09-18T15-41-49Z.log.
2026-09-18T15:41:49Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-18T15:41:50Z INFO Processing 748 items (49147 already recorded).
2026-09-18T15:50:38Z INFO [149/748] 051a509c-49ff-4665-9275-e9e260e17c10: does not qualify; 4.5 s; peak memory 629 MiB.
2026-09-18T15:50:39Z INFO [150/748] 051b1694-3d04-4e5b-8ce4-c62accf072a3: does not qualify; 1.1 s; peak memory 629 MiB.
2026-09-18T15:50:39Z INFO [150/748] 051b1694-3d04-4e5b-8ce4-c62accf072a3: checkpointed 49297 records.
2026-09-18T15:50:40Z INFO [151/748] 051b1705-46eb-412c-980a-e99eaa22225d: does not qualify; 1.2 s; peak memory 629 MiB.
2026-09-18T15:50:43Z INFO [152/748] 051cc117-2547-4be4-84c3-475570ca9fd2: does not qualify; 2.7 s; peak memory 629 MiB.
2026-09-18T15:50:44Z INFO [153/748] 051d1195-6de3-4853-bf26-4c7b31c06fd5: does not qualify; 1.0 s; peak memory 629 MiB.
2026-09-18T15:50:45Z INFO [154/748] 051db6b5-c7de-4bd8-a393-cc1061454c0c: does not qualify; 1.2 s; peak memory 629 MiB.
2026-09-18T15:50:46Z INFO [155/748] 051f15f8-fe80-4995-9774-8afa607a8fe6: does not qualify; 0.9 s; peak memory 629 MiB.
2026-09-18T15:50:48Z INFO [156/748] 051f3823-9a6d-489c-9d78-8d2da1ca608b: does not qualify; 1.8 s; peak memory 629 MiB.
2026-09-18T15:50:49Z INFO [157/748] 05201abc-afb4-4987-bcf8-c0c03d1e79dd: does not qualify; 1.4 s; peak memory 629 MiB.
2026-09-18T15:50:50Z INFO [158/748] 0520a84b-5634-42a0-b4cb-47bcf1aa2227: does not qualify; 1.0 s; peak memory 629 MiB.
2026-09-18T15:50:51Z INFO [159/748] 0520c2b1-4445-41c6-81db-070b67762bb8: does not qualify; 1.4 s; peak memory 629 MiB.
2026-09-18T15:50:52Z INFO [160/748] 052154f9-dedb-4f88-aa7d-6f3ecc66f44e: does not qualify; 1.1 s; peak memory 629 MiB.
2026-09-18T15:50:54Z INFO [161/748] 0521bb2b-f854-4c9d-9999-6084f184976f: does not qualify; 1.7 s; peak memory 629 MiB.
2026-09-18T15:50:56Z INFO [162/748] 0521fbc4-dd4e-41b7-bad3-dca6c7fcecdb: does not qualify; 2.0 s; peak memory 629 MiB.
2026-09-18T15:50:57Z INFO [163/748] 052213ec-d13d-47b3-a3fa-e0a90c13168e: does not qualify; 1.0 s; peak memory 629 MiB.
2026-09-18T15:50:59Z INFO [164/748] 0522b33d-7075-4f11-802e-77c2cbed9ce6: does not qualify; 2.2 s; peak memory 629 MiB.
2026-09-18T15:51:01Z INFO [165/748] 052319e3-22bb-43f6-bdf6-000c5910d720: does not qualify; 2.0 s; peak memory 629 MiB.
2026-09-18T15:51:08Z INFO [166/748] 05231b9d-5dfa-4d67-a552-1a89b8a18b56: does not qualify; 7.0 s; peak memory 639 MiB.
2026-09-18T15:51:14Z INFO [167/748] 052340f7-5ebc-4172-96e6-8e803c90d685: does not qualify; 5.8 s; peak memory 639 MiB.
2026-09-18T15:51:15Z INFO [168/748] 05239fa2-a564-4f92-a7df-ca5049c362b3: does not qualify; 0.9 s; peak memory 639 MiB.
2026-09-18T15:51:17Z INFO [169/748] 0523d5d1-e906-4e86-aa27-d2637d04dde9: qualifies; 2.0 s; peak memory 639 MiB.
2026-09-18T15:51:18Z INFO [170/748] 05241971-5896-4444-b214-c0e55d2978a3: does not qualify; 1.4 s; peak memory 639 MiB.
2026-09-18T15:51:22Z INFO [171/748] 05243ff4-f94d-483f-b722-cfcd11fe3df5: does not qualify; 3.2 s; peak memory 639 MiB.
2026-09-18T15:51:23Z INFO [172/748] 05248a2d-f5bc-4f8a-bbfc-35770cec65fa: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-18T15:51:24Z INFO [173/748] 0524d1fb-8dd1-441f-8de1-4b54ff225c6f: does not qualify; 0.9 s; peak memory 639 MiB.
2026-09-18T15:51:25Z INFO [174/748] 052512fe-e31d-459c-ae39-73d2ff05f82d: does not qualify; 1.4 s; peak memory 639 MiB.
2026-09-18T15:51:27Z INFO [175/748] 052546b7-3b2f-40ee-82f3-f4a3d36c268c: does not qualify; 1.6 s; peak memory 639 MiB.
2026-09-18T15:51:30Z INFO [176/748] 0525811c-61ea-4c29-a3af-55323005658e: qualifies; 2.7 s; peak memory 639 MiB.
