2026-09-25T16:22:12Z INFO Logging to /tmp/logs/update_2026-09-25T16-22-12Z.log.
2026-09-25T16:22:12Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-25T16:22:13Z INFO Processing 381 items (56905 already recorded).
2026-09-25T16:28:40Z INFO [130/381] 15100bf1-8beb-474a-a1b6-75c496ade175: does not qualify; 0.3 s; peak memory 513 MiB.
2026-09-25T16:28:41Z INFO [131/381] 1510419e-1b33-4b39-903b-1f91edfe2f8c: does not qualify; 1.0 s; peak memory 513 MiB.
2026-09-25T16:28:42Z INFO [132/381] 1510a198-c24e-4ad7-a79d-b4be3d837971: does not qualify; 0.4 s; peak memory 513 MiB.
2026-09-25T16:28:42Z INFO [133/381] 1510e774-4164-443b-89fe-f4242a1de29b: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:28:43Z INFO [134/381] 15112683-4e73-4da3-9819-11c97fa79950: does not qualify; 0.5 s; peak memory 513 MiB.
2026-09-25T16:28:43Z INFO [135/381] 1511dbd1-0178-48e6-8a5a-f2ac04d3ba55: does not qualify; 0.3 s; peak memory 513 MiB.
2026-09-25T16:28:44Z INFO [136/381] 1515e2f3-dc5d-4b86-9298-e41fcc466b8e: does not qualify; 0.7 s; peak memory 513 MiB.
2026-09-25T16:28:44Z INFO [137/381] 15165ea1-187e-44a6-bc93-40071f4ea1bd: does not qualify; 0.5 s; peak memory 513 MiB.
2026-09-25T16:28:46Z INFO [138/381] 151667fd-a492-4ed5-ac71-b37c61ab28ca: does not qualify; 1.5 s; peak memory 513 MiB.
2026-09-25T16:28:47Z INFO [139/381] 15168203-c85e-4d6b-98ec-f19b99976e76: does not qualify; 0.9 s; peak memory 513 MiB.
2026-09-25T16:28:49Z INFO [140/381] 1516c1ad-ae95-4678-b2d6-a42c22b72c8d: does not qualify; 1.9 s; peak memory 513 MiB.
2026-09-25T16:28:49Z INFO [141/381] 15171f1a-8e39-49f2-a38c-93e008b44542: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:28:50Z INFO [142/381] 15182535-175f-4995-8de8-e8dcdd1006ec: does not qualify; 0.4 s; peak memory 513 MiB.
2026-09-25T16:28:50Z INFO [143/381] 1518aa21-3261-4bc6-84fa-18afa1e969c4: does not qualify; 0.7 s; peak memory 513 MiB.
2026-09-25T16:28:51Z INFO [144/381] 151980b6-9942-41cb-9677-6733baf539b2: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:28:51Z INFO [145/381] 1519abe5-1ef3-47ad-a94b-35b1967f7061: does not qualify; 0.4 s; peak memory 513 MiB.
2026-09-25T16:28:52Z INFO [146/381] 151b270b-3bcd-4dc6-909c-d3c42ea807bc: does not qualify; 0.7 s; peak memory 513 MiB.
2026-09-25T16:28:53Z INFO [147/381] 151b4681-196e-4e90-a473-ae379428f203: qualifies; 1.4 s; peak memory 513 MiB.
2026-09-25T16:28:59Z INFO [148/381] 151b88c8-f512-4a0d-bd78-32906e4e0404: does not qualify; 5.2 s; peak memory 513 MiB.
2026-09-25T16:28:59Z INFO [149/381] 151c049e-8d7e-4377-8072-7f37a3568bbe: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:29:00Z INFO [150/381] 151c335c-7bba-4fb9-8a15-d245e645a571: does not qualify; 0.7 s; peak memory 513 MiB.
2026-09-25T16:29:00Z INFO [150/381] 151c335c-7bba-4fb9-8a15-d245e645a571: checkpointed 57055 records.
2026-09-25T16:29:01Z INFO [151/381] 151c87de-b334-4769-b7cc-06db2b1f6725: does not qualify; 1.0 s; peak memory 513 MiB.
2026-09-25T16:29:07Z INFO [152/381] 151caa57-ad4e-4282-ab63-131245fd0ca3: does not qualify; 5.9 s; peak memory 513 MiB.
2026-09-25T16:29:08Z INFO [153/381] 151d1651-bb93-44be-a432-f2e8eee75dbd: does not qualify; 1.0 s; peak memory 513 MiB.
2026-09-25T16:29:09Z INFO [154/381] 151d3583-48b5-4ad2-af40-25c7a63ef7a3: does not qualify; 0.9 s; peak memory 513 MiB.
2026-09-25T16:29:13Z INFO [155/381] 151e3b9e-3c32-4a01-9f46-b2c5603b066c: does not qualify; 4.0 s; peak memory 513 MiB.
2026-09-25T16:29:13Z INFO [156/381] 151e3d83-b8fa-4791-a2f3-20020b4dfc2a: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:29:14Z INFO [157/381] 151f3532-5045-4e29-8327-cc247994d12f: does not qualify; 0.8 s; peak memory 513 MiB.
2026-09-25T16:29:15Z INFO [158/381] 151f3b52-65e7-4d29-9584-48482be724c0: does not qualify; 0.5 s; peak memory 513 MiB.
2026-09-25T16:29:15Z INFO [159/381] 151fd0ac-8636-4d0e-99a8-4a3bb23886f9: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:29:18Z INFO [160/381] 15202d44-5003-4779-9c34-1adfa63e2c15: does not qualify; 2.4 s; peak memory 513 MiB.
2026-09-25T16:29:18Z INFO [161/381] 1520418a-b922-4b5e-86ae-b0daed515840: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:29:19Z INFO [162/381] 152049c1-27fe-4fdc-a625-9e9051d8fed4: does not qualify; 0.7 s; peak memory 513 MiB.
2026-09-25T16:29:20Z INFO [163/381] 1522199d-e3ef-4bc0-8aff-957b087712bb: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:29:20Z INFO [164/381] 1523c3e4-2549-4666-8430-244006651726: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:29:21Z INFO [165/381] 15241611-32e6-4e85-84f0-bb65849fc7b8: does not qualify; 0.7 s; peak memory 513 MiB.
2026-09-25T16:29:31Z INFO [166/381] 152473f6-5c29-4232-a1a8-30b6068ed0f6: does not qualify; 10.5 s; peak memory 513 MiB.
2026-09-25T16:29:32Z INFO [167/381] 15249456-d735-475a-bc71-16b2b4607f32: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:29:32Z INFO [168/381] 1524af07-9bd0-44aa-9758-54fb32680c3e: does not qualify; 0.4 s; peak memory 513 MiB.
2026-09-25T16:29:33Z INFO [169/381] 15250191-7927-4c92-854c-20d073d1ce23: does not qualify; 0.8 s; peak memory 513 MiB.
2026-09-25T16:29:34Z INFO [170/381] 15256943-9b91-4088-8399-e3337b96f2d7: does not qualify; 0.8 s; peak memory 513 MiB.
2026-09-25T16:29:36Z INFO [171/381] 152569bd-1869-44c6-9c2f-ddbbf77c47d0: does not qualify; 1.6 s; peak memory 513 MiB.
2026-09-25T16:29:36Z INFO [172/381] 15258885-47be-4eba-ba03-0d8091250b4c: does not qualify; 0.7 s; peak memory 513 MiB.
2026-09-25T16:29:40Z INFO [173/381] 15258932-e46b-4ef8-a6c3-9b8e25d69586: does not qualify; 3.5 s; peak memory 513 MiB.
2026-09-25T16:29:40Z INFO [174/381] 15268835-3ab8-415c-bc08-66a3e16e7c56: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:29:42Z INFO [175/381] 1526c575-c1e5-458e-8b4e-1a3633f282cb: does not qualify; 1.5 s; peak memory 513 MiB.
2026-09-25T16:29:43Z INFO [176/381] 1527238e-8595-4950-89bd-3d42e5d7c538: does not qualify; 0.9 s; peak memory 513 MiB.
2026-09-25T16:29:46Z INFO [177/381] 1527977d-fd9a-4c9d-98f1-500958bce7d5: does not qualify; 3.7 s; peak memory 646 MiB.
