2026-09-21T11:47:45Z INFO Logging to /tmp/logs/update_2026-09-21T11-47-45Z.log.
2026-09-21T11:47:45Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-21T11:47:47Z INFO Processing 367 items (52494 already recorded).
2026-09-21T11:52:51Z INFO [103/367] 0bf7bf21-e55f-4072-a589-0554640d196b: does not qualify; 7.9 s; peak memory 607 MiB.
2026-09-21T11:52:58Z INFO [104/367] 0bf88989-2452-4f92-9471-25b7c30f5844: does not qualify; 6.9 s; peak memory 607 MiB.
2026-09-21T11:53:01Z INFO [105/367] 0bf8be3f-b74b-4b3b-8111-1f6385598eba: does not qualify; 2.7 s; peak memory 607 MiB.
2026-09-21T11:53:02Z INFO [106/367] 0bf950da-e9b8-4185-ae2b-1a153db299ea: does not qualify; 1.5 s; peak memory 607 MiB.
2026-09-21T11:53:04Z INFO [107/367] 0bf97fe4-9258-4985-8974-117918874f90: does not qualify; 2.1 s; peak memory 607 MiB.
2026-09-21T11:53:06Z INFO [108/367] 0bfaf92c-a454-4a4d-a112-a6b22ec7321a: does not qualify; 1.7 s; peak memory 607 MiB.
2026-09-21T11:53:08Z INFO [109/367] 0bfb384e-9d4d-40db-bffb-b3dbb69bd189: does not qualify; 1.8 s; peak memory 607 MiB.
2026-09-21T11:53:14Z INFO [110/367] 0bfbd075-9b6f-455d-94c1-4de5324913fd: does not qualify; 6.0 s; peak memory 607 MiB.
2026-09-21T11:53:15Z INFO [111/367] 0bfc1b50-42be-403e-ba76-73eb2a9d6439: does not qualify; 1.6 s; peak memory 607 MiB.
2026-09-21T11:53:17Z INFO [112/367] 0bfc3322-7d9e-453b-8d53-e54c0c5d6eb9: does not qualify; 1.5 s; peak memory 607 MiB.
2026-09-21T11:53:19Z INFO [113/367] 0bfcac95-a1f8-433d-b727-ff1f636939b9: does not qualify; 2.3 s; peak memory 607 MiB.
2026-09-21T11:53:43Z INFO [114/367] 0bfcc967-d709-4ea1-b982-0c61ae7a58f2: does not qualify; 23.4 s; peak memory 607 MiB.
2026-09-21T11:53:44Z INFO [115/367] 0bfd45a4-99c1-4941-90d7-4e9bf3d8f42b: does not qualify; 1.4 s; peak memory 607 MiB.
2026-09-21T11:53:46Z INFO [116/367] 0bfd6a65-129a-4865-9af6-dc2fdd45a2c2: does not qualify; 2.1 s; peak memory 607 MiB.
2026-09-21T11:53:55Z INFO [117/367] 0bfd9050-c49d-42a3-9067-d8b6c3aa7e4c: does not qualify; 8.9 s; peak memory 660 MiB.
2026-09-21T11:53:59Z INFO [118/367] 0bfd9ae1-7e17-4221-848a-4f6d558494bb: does not qualify; 3.8 s; peak memory 660 MiB.
2026-09-21T11:54:01Z INFO [119/367] 0bfe049c-bb8b-4007-83c0-bf6d8df01702: does not qualify; 1.9 s; peak memory 660 MiB.
2026-09-21T11:54:02Z INFO [120/367] 0bfe656d-5275-451c-a1c5-15b57e4e922e: does not qualify; 1.5 s; peak memory 660 MiB.
2026-09-21T11:54:04Z INFO [121/367] 0bfe9c7a-a991-41f3-a5cd-85737a14ae52: does not qualify; 1.4 s; peak memory 660 MiB.
2026-09-21T11:54:05Z INFO [122/367] 0bfef0d4-8219-4432-a3dc-44cac6fbce48: does not qualify; 1.8 s; peak memory 660 MiB.
2026-09-21T11:54:11Z INFO [123/367] 0bfefd5b-ad99-4e48-973e-d440d5458645: does not qualify; 5.8 s; peak memory 660 MiB.
2026-09-21T11:54:21Z INFO [124/367] 0c0086e2-bf72-4dae-8de6-2c317816fea8: does not qualify; 10.0 s; peak memory 660 MiB.
2026-09-21T11:54:23Z INFO [125/367] 0c01c2e2-c0d7-4375-945e-9abd47741968: does not qualify; 1.4 s; peak memory 660 MiB.
2026-09-21T11:54:29Z INFO [126/367] 0c01db87-564c-49eb-b459-e48b0867216c: does not qualify; 6.5 s; peak memory 660 MiB.
2026-09-21T11:54:34Z INFO [127/367] 0c0244aa-10cc-40dd-a189-819cb2bd20b5: does not qualify; 4.3 s; peak memory 660 MiB.
2026-09-21T11:54:36Z INFO [128/367] 0c02d440-5747-4207-bf75-726b8966e231: does not qualify; 1.9 s; peak memory 660 MiB.
2026-09-21T11:54:37Z INFO [129/367] 0c033e16-687b-483b-a370-a4b25d7eefcb: does not qualify; 1.9 s; peak memory 660 MiB.
2026-09-21T11:54:39Z INFO [130/367] 0c036435-f5e1-4b02-8cee-61edbf7790cf: does not qualify; 1.4 s; peak memory 660 MiB.
2026-09-21T11:54:45Z INFO [131/367] 0c03d995-e16f-4a8a-b14e-61f65a4102d6: does not qualify; 6.5 s; peak memory 660 MiB.
2026-09-21T11:54:47Z INFO [132/367] 0c056b43-6267-48ae-b2bf-0ec117c12194: does not qualify; 1.5 s; peak memory 660 MiB.
2026-09-21T11:54:48Z INFO [133/367] 0c05f8d7-4db4-4e87-8197-025322337f19: does not qualify; 1.5 s; peak memory 660 MiB.
2026-09-21T11:54:50Z INFO [134/367] 0c06ba2d-380c-4171-82d5-0c5f075e7b3b: does not qualify; 1.5 s; peak memory 660 MiB.
2026-09-21T11:54:51Z INFO [135/367] 0c073c33-97f8-4353-be2c-b2fe76aa6fc5: does not qualify; 1.4 s; peak memory 660 MiB.
2026-09-21T11:54:59Z INFO [136/367] 0c079a8b-4343-4566-ac18-af39d1bca5dc: does not qualify; 8.0 s; peak memory 660 MiB.
